,NO.,ORDER DATE,DIRECTOR,SITE,STATUS,MAIN DES,COMTOR,DUR(h),TRANS DUR(h),DELIVER BEFORE(h),CONFIRM TIME (h),DEADLINE,WORK DATE,DESIGN IMPORTANT,START WORK,END WORK,FIX DUR,"BREAK/
CONFIRM","WORK
DURATION",LAG,DES NOTES,DES1,DUR1,DES2,DUR2,DES3,DUR3,DES4,DUR4,
1,v1603-0001,2/29/2016,Kawashima,nenryo-bunseki.com/,mail:done,LinhKT,ManDH,1,0.5,12:00,,01/03/2016,29/02/2016,,15:00,16:00,,,1,0,,LinhKT,1,,,,,,,1
1,v1603-0002,2/29/2016,Kawashima,sunshine-24.jp/,mail:done,DiepBNH,ManDH,0.5,0.5,12:00,,01/03/2016,29/02/2016,,17:00,17:30,,,0.5,0,,DiepBNH,0.5,,,,,,,1
1,v1603-0003,2/29/2016,Tsukamoto,dan-kyousei.com/,mail:done,TrucTTT,ManDH,2,0.5,,,01/03/2016,29/02/2016,,14:30,16:30,,,2,0,,TrucTTT,2,,,,,,,1
1,v1603-0004,2/29/2016,Ishihara,tahara-dental.com/,mail:done,DiepBNH,ManDH,2,0.5,15:00,,01/03/2016,29/02/2016,,15:00,17:00,,,2,0,,DiepBNH,2,,,,,,,1
1,v1603-0005,2/29/2016,Sawada,nihonshikairyoujin.or.jp/,mail:done,LinhKT,ManDH,1,0,13:00,,01/03/2016,29/02/2016,,16:00,17:00,,,1,0,,LinhKT,1,,,,,,,1
1,v1603-0006,2/29/2016,Sawada,dentremoval.jp/,mail:done,TrucTTT,ManDH,1.5,0,13:30,,01/03/2016,29/02/2016,,13:00,14:30,,,1.5,0,,TrucTTT,1.5,,,,,,,1
1,v1603-0007,2/29/2016,Ishihara,akita-shika.com/,mail:done,DiepBNH,ManDH,2,0.5,,,01/03/2016,29/02/2016,,13:00,15:00,,,2,0,,DiepBNH,2,,,,,,,1
1,v1603-0008,2/29/2016,Kaneko,e-headspa.com/,mail:done,BichVTN,ManDH,1.5,0,12:30,,01/03/2016,01/03/2016,,9:00,10:30,,,1.5,0,,BichVTN,1.5,,,,,,,1
1,v1603-0009,2/29/2016,Kawashima,nippon-xypex.com/,mail:done,ThanhNLY,ManDH,1,0.5,12:00,,01/03/2016,29/02/2016,,16:00,17:00,,,1,0,,ThanhNLY,1,,,,,,,1
1,v1603-0010,2/29/2016,Ishihara,moa-clinic.com/,mail:done,VuLDN,ManDH,2,0.5,,,01/03/2016,01/03/2016,,8:30,10:30,,,2,0,,VuLDN,2,,,,,,,1
1,v1603-0011,2/29/2016,Kaneko,kato-skating.net/,mail:done,LinhKT,ManDH,1,0,13:00,,01/03/2016,01/03/2016,,8:30,9:30,,,1,0,,LinhKT,1,,,,,,,1
1,v1603-0012,2/29/2016,Ishihara,alice-yagi.com/,mail:done,VanVTK,ManDH,2,0.5,,,01/03/2016,01/03/2016,,13:00,15:00,,,2,0,http://service.fvn-office.net/VanVTK/160301_02_bk/,VanVTK,2,,,,,,,1
1,v1603-0013,2/29/2016,Nishitani,fc-art.com/,mail:done,VuLDN,ManDH,5,1,,,01/03/2016,01/03/2016,,10:30,16:30,,1:00,5,0,,VuLDN,5,,,,,,,1
1,v1603-0014,2/29/2016,Suzuki,nakanokensou.jp/,mail:done,LinhKT,NguyenLDH,3,0.5,,,01/03/2016,01/03/2016,,10:30,14:00,,1:00,2.5,-0.5,,LinhKT,3,,,,,,,1
1,v1603-0015,2/29/2016,Ariyoshi,ticketking.jp/,mail:done,TrucTTT,ManDH,6,1,,,01/03/2016,01/03/2016,,10:30,17:30,,1:00,6,0,,TrucTTT,6,,,,,,,1
1,v1603-0016,2/29/2016,Ariyoshi,hana-n.com/,mail:done,DiepBNH,ManDH,1,0.5,,,01/03/2016,01/03/2016,,9:00,10:00,,,1,0,,DiepBNH,1,,,,,,,1
1,v1603-0017,2/29/2016,Sawada,taiyo-energy.net/,mail:done,VanVTK,NguyenLDH,2.5,0,14:00,,01/03/2016,01/03/2016,,9:30,12:00,,,2.5,0,,VanVTK,2.5,,,,,,,1
1,v1603-0018,2/29/2016,Ariyoshi,smilekobo.jp/,mail:done,BichVTN,ManDH,4,1,,,01/03/2016,01/03/2016,,11:00,16:00,,1:00,4,0,,BichVTN,4,,,,,,,1
