Date,??NO,Project Name,Type,Page number,Std. DUR,Real DUR,Work content,Page name,"Team/
Designer",Status,Start work,End work,Break,Note,,,,,,,,,,,,
,100100329909-01W,???? ??????????,Plan,15,50,79,"set overnotes, fmail, responsive",,1.team Dat,,,,,??t,,,,,,,,,,,,
26/02/2016,100100329909-01W,???? ??????????,New,1,6,3.5,index,js index,DatNVT,done,08:30,12:00,,order parallax + responsive,,,,,,,,,,,,
25/02/2016,100100329909-01W,???? ??????????,New,-,-,4.5,index,js index,DatNVT,done,13:00,17:30,,,,,,,,,,,,,,
25/02/2016,100100329909-01W,???? ??????????,New,-,2,1.5,code layout sub page,under,ThuyTTN,done,16:00,17:30,,,,,,,,,,,,,,
,100100329909-01W,???? ??????????,New,-,-,0,code common parts ,,,,,,,,,,,,,,,,,,,
29/02/2016,100100329909-01W,???? ??????????,Option,-,3,4,overnotes,,TrucPTT,done,13:30,17:30,,,,,,,,,,,,,,
04/03/2016,100100329909-01W,???? ??????????,Option,,3,3,kijkaku,,TrucPTT,done,08:30,11:30,,,,,,,,,,,,,,
,100100329909-01W,???? ??????????,Option,-,-,0,set js (main image),,,,,,,,,,,,,,,,,,,
04/03/2016,100100329909-01W,???? ??????????,Option,-,-,12,code responsive,,DatNVT,done,08:30,21:30,1:00,,,,,,,,,,,,,
,100100329909-01W,???? ??????????,New,,,0,Join page,,,,,,,,,,,,,,,,,,,
,100100329909-01W,???? ??????????,New,,,0,Check,,,,,,,,,,,,,,,,,,,
,100100329909-01W,???? ??????????,New,,,0,Fix,,,,,,,,,,,,,,,,,,,
26/02/2016,100100329909-01W,???? ??????????,New,3,6,8,"sub page 2, 3, 4","cut under, about/index.html, about/reason.html, about/interview.html",ThuyTTN,done,08:30,17:30,1:00,,,,,,,,,,,,,
29/02/2016,100100329909-01W,???? ??????????,New,1,2,3.5,sub page 15,set fmail,ThuyTTN,done,08:30,12:00,,design banner,,,,,,,,,,,,
26/02/2016,100100329909-01W,???? ??????????,New,4,8,8,"sub page 5,6,7,8","service/index.html, service/plan.html, service/design.html, service/maintenance.html",LamNTP,done,08:30,17:30,1:00,,,,,,,,,,,,,
26/02/2016,100100329909-01W,???? ??????????,New,4,8,8,"sub page11,12,13,14","faq/index.html
, company/index.html
company/vision.html, company/recruit.html",TrucPTT,done,08:30,17:30,1:00,,,,,,,,,,,,,
29/02/2016,100100329909-01W,???? ??????????,New,2,4,4,"sub page 9,10",overnote,TrucPTT,done,08:30,13:30,1:00,,,,,,,,,,,,,
03/03/2016,100100329909-01W,???? ??????????,New,,8,4.5,"sub page 5,6,7,8,11,12,12,14","sub page 5,6,7,8,11,12,12,14",TrucPTT,done,13:00,17:30,,set responsive,,,,,,,,,,,,
