Date,What you did,Contents,Designer,Start,End,Break,Work DUR(h),Note
01/03/2016,training Overnotes,,DatNVT,8:30,10:00,,1.5,
01/03/2016,training Overnotes,,DatNVT,10:00,12:00,,2,
03/03/2016,training Fmail,,TrucPTT,11:00,12:00,,1,
03/03/2016,training Fmail,,LamNTP,11:00,12:00,,1,
16/03/2016,update Window,,ThanhNLY,8:30,10:00,,1.5,
03/03/2016,training Fmail,,DatNVT,8:30,17:30,,9,
03/03/2016,support parallax,,DatNVT,17:30,20:15,,2.8,
21/03/2016,"Synthetic New Coding: images, js, illus, psd, ...",,TramNTH,13:30,17:30,,4,
22/03/2016,"Update CC, wiupdate ndow",,TramNTH,14:30,17:30,,3,
23/03/2016,wiupdate ndow,,LinhKT,17:00,17:30,,0.5,
25/03/2016,working v1603-0482_tennis-school.jp,,TrucPTT,15:00,17:30,,2.5,
25/03/2016,working v1603-0482_tennis-school.jp,,ThuyTTN,16:30,17:30,,1,
04/03/2016,meeting leader,,ManhT,13:30,17:30,,4,
07/03/2016,support overnotes,,DatNVT,8:30,12:00,,3.5,
11/03/2016,meeting leader,,ManhT,13:30,17:30,,4,
10/03/2016,support mainternance,,DatNVT,8:30,12:00,,3.5,
10/03/2016,support custome fmail,,DatNVT,15:30,17:30,,2,
21/03/2016,meeting leader,,DatNVT,15:30,17:30,,2,
07/03/2016,meeting newcoding,,ManhT,13:30,17:30,,4,
03/03/2016,training Fmail,,ManhT,8:30,12:00,,3.5,
14/03/2016,support newcoding and maintenance,,DatNVT,13:00,16:00,,3,
16/03/2016,support newcoding group,,ManhT,16:30,17:30,,1,
07/03/2016,support newcoding group,,ManhT,15:00,17:30,,2.5,
08/03/2016,support newcoding group,,ManhT,15:00,17:30,,2.5,
22/03/2016,support newcoding group,,ManhT,15:00,17:30,,2.5,
10/03/2016,support,,ManhT,15:00,17:30,,2.5,
11/03/2016,support,,ManhT,15:00,17:00,,2,
24/03/2016,support newcoding group,,ManhT,15:00,17:30,,2.5,
31/03/2016,report ,,TriN,13:00,16:00,,3,
17/03/2016,support mainternance,,TriN,13:00,17:00,,4,
28/03/2016,support newcoding group and outside working,,DatNVT,8:30,17:30,1:00,8,
29/03/2016,support newcoding group and outside working,,DatNVT,8:30,17:30,1:00,8,
30/03/2016,support newcoding group and outside working,,DatNVT,8:30,17:30,1:00,8,
31/03/2016,support newcoding group and outside working,,DatNVT,8:30,17:30,1:00,8,
31/03/2016,v1603-0599_koubou-yu.com,continue work order v1603-0599 (16/03/31),ThanhNLY,8:30,11:30,,3,
28/03/2016,mattresses and bed transplant,,KhangPH,8:30,11:30,,3,
30/03/2016,fix namecard,,BichVTN,17:00,17:30,,0.5,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
,,,,,,,0,
