Research - Training Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1/3/2016,2/3/2016,3/3/2016,4/3/2016,5/3/2016,6/3/2016,7/3/2016,8/3/2016,9/3/2016,10/3/2016,11/3/2016,12/3/2016,13/03/2016,14/03/2016,15/03/2016,16/03/2016,17/03/2016,18/03/2016,19/03/2016,20/03/2016,21/03/2016,22/03/2016,23/03/2016,24/03/2016,25/03/2016,26/03/2016,27/03/2016,28/03/2016,29/03/2016,30/03/2016,31/03/2016
Theme (Ch? ??),Date,Content,Designer,STD DUR (h),REAL DUR (h),Start work,End Work,Break,Detail purpose,Reference URL,Practice URL,Proficiency level,3?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1 (?),2 (?),3 (?),4 (?),5 (?),6 (?),7 (?),8 (?),9 (?),10 (?),11 (?),12 (?),13 (?),14 (?),15 (?),16 (?),17 (?),18 (?),19 (?),20 (?),21 (?),22 (?),23 (?),24 (?),25 (?),26 (?),27 (?),28 (?),29 (?),30 (?),31 (?)
RESS RWD and Server Side Components.,02/03/2016,RESS RWD and Server Side Components.,HuyTV,,2,15:30,17:30,,,http://maddesigns.de/RESS/#1,,Z?I?L?U?O,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parallax with animate,01/03/2016,scroll with css3,DatNVT,,4.5,13:00,17:30,,,,,Z?I?L?U?O,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parallax with animate,02/03/2016,scroll with css3,DatNVT,,9,8:30,17:30,,,,,Z?I?L?U?O,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
set images thumb with responsive,09/03/2016,thumb in overnotes,DatNVT,,3.5,8:30,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refine Egde,22/03/2016,Refine Egde,LinhKT,,3,14:30,17:30,,,,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,
Research Fmail Advanced,02/03/2016,Research Fmail Advanced,ManhT,,7,8:30,16:30,1:00,,,,Z?I?L?U?O,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Responsive Mobile First,22/03/2016,Research Responsive Mobile First,ManhT,,5,8:30,14:30,1:00,,,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,
RESS RWD and Server Side Components.,22/03/2016,RESS RWD and Server Side Components.,VuLDN,,5,8:30,14:30,1:00,,http://maddesigns.de/RESS/#1,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,
Research Fmail Advanced,01/03/2016,Research Fmail Advanced,ManhT,,3.5,8:30,12:00,,,,,Z?I?L?U?O,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Fmail Advanced,03/03/2016,Research Fmail Advanced,ManhT,,3.5,8:30,12:00,,,,,Z?I?L?U?O,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Responsive Mobile First,08/03/2016,Research Responsive Mobile First,ManhT,,3,8:30,11:30,,,,,Z?I?L?U?O,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,
Research Fmail Advanced,04/03/2016,Research Fmail Advanced,ManhT,,1.5,8:30,10:00,,,,,Z?I?L?U?O,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
scroll with wow.js,10/03/2016,scroll with css3,DatNVT,,4.5,13:00,17:30,,,,,Z?I?L?U?O,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,
Research Setup Fmail & Overnote,30/03/2016,Research Setup Fmail & Overnote,VanVTK,,4,9:00,14:00,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Jquery Image Slide,25/03/2016,Research Jquery Image Slide,VanVTK,,1.5,16:00,17:30,,,http://www.jssor.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Bootstrap,29/03/2016,Research Bootstrap,VanVTK,,1.5,16:00,17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Bootstrap,30/03/2016,Research Bootstrap,VanVTK,,3.5,14:00,17:30,,,http://getbootstrap.com.vn/,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,
Research Bootstrap,02/03/2016,Research Bootstrap,LamNTP,,3,14:30,17:30,,,http://getbootstrap.com/,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Bootstrap,03/03/2016,Research Bootstrap,LamNTP,,1.5,16:00,17:30,,,http://getbootstrap.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Bootstrap,28/03/2016,Research Bootstrap,LamNTP,,3.5,14:00,17:30,,,http://getbootstrap.com/,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,,
AngularJS,21/03/2016,AngularJS,DatNVT,,7,8:30,16:30,1:00,,,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,
AngularJS,22/03/2016,AngularJS,DatNVT,,8,8:30,17:30,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngularJS,23/03/2016,AngularJS,DatNVT,,3.5,8:30,12:00,,,,AngularJS,3/22/2016,AngularJS,DatNVT,,8,8:30,17:30,1:00,,,AngularJS,3/22/2016,AngularJS,DatNVT,,8,8:30,17:30,1:00,,,AngularJS,3/22/2016,AngularJS,DatNVT,,8,8:30,17:30,1:00,,
System Management,01/03/2016,Building System Management,ThanhNT,,8,8:30,17:30,1:00,,http://service.fvn-office.net/demo_management/index.php?module=default&controller=index&action=index,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Management,02/03/2016,Building System Management,ThanhNT,,8,8:30,17:30,1:00,,http://service.fvn-office.net/demo_management/index.php?module=default&controller=index&action=index,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Management,03/03/2016,Building System Management,ThanhNT,,8,8:30,17:30,1:00,,http://service.fvn-office.net/demo_management/index.php?module=default&controller=index&action=index,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Management,04/03/2016,Building System Management,ThanhNT,,8,8:30,17:30,1:00,,http://service.fvn-office.net/demo_management/index.php?module=default&controller=index&action=index,,Z?I?L?U?O,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Management,18/03/2016,Building System Management,ThanhNT,,8,8:30,17:30,1:00,,http://service.fvn-office.net/demo_management/index.php?module=default&controller=index&action=index,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,
System Management,22/03/2016,Building System Management,ThanhNT,,4.5,13:00,17:30,,,http://service.fvn-office.net/demo_management/index.php?module=default&controller=index&action=index,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,
System Management,24/03/2016,Building System Management,ThanhNT,,5.5,11:00,17:30,1:00,,http://service.fvn-office.net/demo_management/index.php?module=default&controller=index&action=index,,Z?I?L?U?O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
